Taxon,Region,LifeForm,PresentStatus,FirstRecord,FirstRecord_orig,DataQuality,Source
Allium pendulinum,United Kingdom,Vascular plants,established,1977,1977,,Roy H et al. (2012) 
Allium porrum,Belgium,Vascular plants,casual,1948,1948,,"Verloove F, (2006)"
Allium porrum,Corse,Vascular plants,established,1931,1931,,DAISIE
Allium porrum,United Kingdom,Vascular plants,casual,1935,1935,,Roy H et al. (2012) 
Allium roseum,Azores,Vascular plants,casual,1898,1898,,"Sch�fer, H. (2003)"
Allium roseum,Czech Republic,Vascular plants,casual,2005,2005,,Py�ek et al. (2012)
Allium roseum,United Kingdom,Vascular plants,established,1837,1837,,Roy H et al. (2012) 
Allium rotundum,Norway,Vascular plants,established,1973,1973 - 1973,,GISD
Allium sativum,Austria,Vascular plants,,1956,1956,,Essl F et al. (2014)
Allium sativum,Corse,Vascular plants,established,1931,1931,,DAISIE
Allium sativum,Ireland,Vascular plants,,1990,1990,,"Reynolds, S. C. P. (2002)"
Allium sativum,Norway,Vascular plants,casual,1944,1944 - 1944,,GISD
Allium sativum,Slovakia,Vascular plants,casual,1955,1955,,DAISIE
Allium sativum,United Kingdom,Vascular plants,established,1837,1837,,Roy H et al. (2012) 
Allium schoenoprasum,Australia,Vascular plants,,1902,1902,Herbarium record,Australia Virtual Herbarium
Allium schoenoprasum,Belgium,Vascular plants,casual,1836,1836,,"Verloove F, (2006)"
Allium schoenoprasum,Iceland,Vascular plants,casual,1935,1935,,Wasowicz P et al. (2013)
Allium schoenoprasum,Ireland,Vascular plants,,1986,1986,,"Reynolds, S. C. P. (2002)"
Allium schoenoprasum,Latvia,Vascular plants,casual,1962,1962 - 1962,,DAISIE
Allium schoenoprasum,Slovakia,Vascular plants,casual,1830,1830(1979),,"Medveck�, J. et al. (2012)"
Allium scorodoprasum,Belgium,Vascular plants,established,1925,1925,,"Verloove F, (2006)"
Allium scorodoprasum,Ireland,Vascular plants,,1898,1898,,"Reynolds, S. C. P. (2002)"
Allium siculum,United Kingdom,Vascular plants,established,1906,1906,,Roy H et al. (2012) 
Allium sphaerocephalon,United Kingdom,Vascular plants,established,1836,1836,,Stace and Crawley (2015)
Allium stipitatum,Czech Republic,Vascular plants,casual,2008,2008,,Py�ek et al. (2012)
Allium stipitatum,Slovakia,Vascular plants,casual,2011,2011,,"Medveck�, J. et al. (2012)"
Allium subhirsutum,Austria,Vascular plants,,2000,2000,,Essl F et al. (2014)
Allium subhirsutum,United Kingdom,Vascular plants,established,1954,1954,,Roy H et al. (2012) 
Allium subvillosum,Azores,Vascular plants,casual,1844,1844,,"Sch�fer, H. (2003)"
Allium triquetrum,Australia,Vascular plants,,1921,1921,Herbarium record,Australia Virtual Herbarium
Allium triquetrum,Azores,Vascular plants,established,1993,1993,,"Sch�fer, H. (2003)"
Allium triquetrum,Ireland,Vascular plants,,1890,1890,,"Reynolds, S. C. P. (2002)"
Allium triquetrum,Portugal,Vascular plants,casual,1804,1804 - 1804,,DAISIE
Allium triquetrum,Turkey,Vascular plants,established,1910,1910,,DAISIE
Allium triquetrum,United Kingdom,Vascular plants,established,1847,1847,,Roy H et al. (2012) 
Allium tuberosum,Australia,Vascular plants,,2009,2009,Herbarium record,Australia Virtual Herbarium
Allium tuberosum,Czech Republic,Vascular plants,casual,1866,1866,,Py�ek et al. (2012)
Allium unifolium,United Kingdom,Vascular plants,casual,1985,1985,,Roy H et al. (2012) 
Allium victorialis,Norway,Vascular plants,established,1987,1987 - 1987,,GISD
Allium vineale,Australia,Vascular plants,,1956,1956,Herbarium record,Australia Virtual Herbarium
Allium vineale,Azores,Vascular plants,established,1901,1901,,"Sch�fer, H. (2003)"
Allium vineale,Canada,Vascular plants,,1998,1998,Herbarium record,Lavoie et al. (2012)
Allium vineale,Chile,Vascular plants,,1968,1968,,Nicol Fuentes
Allium vineale,Kenya,Vascular plants,,1993,1993,,CABI ISC
Allium vineale,Madeira,Vascular plants,established,1922,1922 - 1922,,DAISIE
Allium zebdanense,Czech Republic,Vascular plants,casual,2006,2006,,Py�ek et al. (2012)
Allocasuarina diminuta,Australia,Vascular plants,,2002,2002,Herbarium record,Australia Virtual Herbarium
Alnus alnobetula,Iceland,Vascular plants,established,1996,1996,,Wasowicz P et al. (2013)
Alnus alnobetula,Norway,Vascular plants,established,2009,2009 - 2009,,GISD
Alnus alnobetula,United Kingdom,Vascular plants,casual,1987,1987,,Stace and Crawley (2015)
Alnus cordata,Azores,Vascular plants,established,1960,1960,,"Sch�fer, H. (2003)"
Alnus cordata,Belgium,Vascular plants,established,1992,1992,,"Verloove F, (2006)"
Alnus cordata,United Kingdom,Vascular plants,established,1935,1935,,Roy H et al. (2012) 
Alnus glutinosa,Australia,Vascular plants,,1999,1999,Herbarium record,Australia Virtual Herbarium
Alnus glutinosa,Azores,Vascular plants,established,1938,1938,,"Sch�fer, H. (2003)"
Alnus glutinosa,Chile,Vascular plants,,1930,1930,,Nicol Fuentes
Alnus glutinosa,United Kingdom,Vascular plants,casual,1950,1950,,Roy H et al. (2012) 
Alnus incana,Azores,Vascular plants,established,1973,1973,,"Sch�fer, H. (2003)"
Alnus incana,Belgium,Vascular plants,established,1869,1869,,"Verloove F, (2006)"
Alnus incana,Czech Republic,Vascular plants,casual,1872,1872,,Py�ek et al. (2012)
Alnus incana,Iceland,Vascular plants,casual,2009,2009,,Wasowicz P et al. (2013)
Alnus incana,Ireland,Vascular plants,,1935,1935,,"Reynolds, S. C. P. (2002)"
Alnus incana,Poland,Vascular plants,established,1817,1817 - 1817,,DAISIE
Alnus incana,United Kingdom,Vascular plants,established,1920,1920,,Roy H et al. (2012) 
Alnus rubra,United Kingdom,Vascular plants,established,1968,1968 (publication),,Roy H et al. (2012) 
Alnus subcordata,United Kingdom,Vascular plants,casual,2006,2006,,Stace and Crawley (2015)
Alnus viridis,Slovakia,Vascular plants,established,1853,1853,,DAISIE
Alnus x hybrida,Belgium,Vascular plants,casual,1963,1963,,DAISIE
Alnus x spaethii,Belgium,Vascular plants,casual,2012,2012,,DAISIE
Alocasia macrorrhizos,Hawaiian Islands,Vascular plants,,1000,1000,Herbarium record,"Wester, L. (1992)"
Alocasia macrorrhizos,Kermadec Islands,Vascular plants,established,1900,1900,,"Sykes, W. R. et al. (2000)"
Aloe arborescens,Australia,Vascular plants,,1910,1910,Herbarium record,Australia Virtual Herbarium
Aloe arborescens,Azores,Vascular plants,established,1952,1952,,"Sch�fer, H. (2003)"
Aloe arborescens,Madeira,Vascular plants,established,1894,1894 - 1894,,DAISIE
Aloe arborescens,Portugal,Vascular plants,casual,1980,1980 - 1980,,DAISIE
Aloe aristata,United Kingdom,Vascular plants,casual,1995,1995,,Stace and Crawley (2015)
Aloe brevifolia,Australia,Vascular plants,,2005,2005,Herbarium record,Australia Virtual Herbarium
Aloe ciliaris,Australia,Vascular plants,,1988,1988,Herbarium record,Australia Virtual Herbarium
Aloe maculata,Australia,Vascular plants,,1978,1978,Herbarium record,Australia Virtual Herbarium
Aloe maculata,Corse,Vascular plants,established,1986,1986,,DAISIE
Aloe maculata,Portugal,Vascular plants,alien,1998,1998 - 1998,,DAISIE
Aloe parvibracteata,Australia,Vascular plants,,1984,1984,Herbarium record,Australia Virtual Herbarium
Aloe vera,Australia,Vascular plants,,1992,1992,Herbarium record,Australia Virtual Herbarium
Aloe vera,Cyprus,Vascular plants,established,1800,1800,,DAISIE
Aloe vera,Madeira,Vascular plants,established,1894,1894 - 1894,,DAISIE
Aloe vera,Portugal,Vascular plants,casual,1896,1896 - 1896,,DAISIE
Alopecurus aequalis,Australia,Vascular plants,,1900,1900,Herbarium record,Australia Virtual Herbarium
Alopecurus aequalis,Corse,Vascular plants,alien,1989,1989,,DAISIE
Alopecurus borealis,Belgium,Vascular plants,casual,1912,1912,,DAISIE
Alopecurus bulbosus,Ireland,Vascular plants,,1906,1906,,"Reynolds, S. C. P. (2002)"
Alopecurus carolinianus,Belgium,Vascular plants,casual,1921,1921,,"Verloove F, (2006)"
Alopecurus geniculatus,Australia,Vascular plants,,1844,1844,Herbarium record,Australia Virtual Herbarium
Alopecurus geniculatus,Azores,Vascular plants,established,1973,1973,,"Sch�fer, H. (2003)"
Alopecurus geniculatus,Canada,Vascular plants,,1899,1899,Herbarium record,Lavoie et al. (2012)
Alopecurus geniculatus,Chile,Vascular plants,,1951,1951,,Nicol Fuentes
Alopecurus geniculatus,Kerguelen Islands,Vascular plants,,1995,1995,,Frenot (2001)
Alopecurus geniculatus,Reunion,Vascular plants,,1982,1982,,Frenot (2001)
Alopecurus magellanicus,Belgium,Vascular plants,casual,1912,1912,,"Verloove F, (2006)"
Alopecurus myosuroides,Australia,Vascular plants,,1914,1914,Herbarium record,Australia Virtual Herbarium
Alopecurus myosuroides,Azores,Vascular plants,established,1964,1964,,"Sch�fer, H. (2003)"
Alopecurus myosuroides,Corse,Vascular plants,established,1833,1833,,DAISIE
Alopecurus myosuroides,Estonia,Vascular plants,casual,1905,1905 - 1905,,DAISIE
Alopecurus myosuroides,Iceland,Vascular plants,casual,1972,1972,,Wasowicz P et al. (2013)
Alopecurus myosuroides,Latvia,Vascular plants,casual,1846,1846 - 1846,,DAISIE
Alopecurus myosuroides,Lithuania,Vascular plants,casual,1982,1982 - 1982,,DAISIE
Alopecurus myosuroides,Reunion,Vascular plants,,1978,1978,,Frenot (2001)
Alopecurus myosuroides,South Korea,Vascular plants,,1995,1995,,CABI ISC
Alopecurus myosuroides,Taiwan,Vascular plants,,1897,1897,,Wu et al. (2010)
Alopecurus myosuroides,United Kingdom,Vascular plants,established,1597,1597,,Roy H et al. (2012) 
Alopecurus pratensis,Australia,Vascular plants,,1874,1874,Herbarium record,Australia Virtual Herbarium
Alopecurus pratensis,Azores,Vascular plants,established,1941,1941,,"Sch�fer, H. (2003)"
Alopecurus pratensis,Canada,Vascular plants,,1900,1900,Herbarium record,Lavoie et al. (2012)
Alopecurus pratensis,Chile,Vascular plants,,1958,1958,,Nicol Fuentes
Alopecurus pratensis,Iceland,Vascular plants,established,1902,1902,,Wasowicz P et al. (2013)
Alopecurus pratensis,Kerguelen Islands,Vascular plants,,2000,2000,,Frenot (2001)
Alopecurus pratensis,Reunion,Vascular plants,,1982,1982,,Frenot (2001)
Alopecurus rendlei,Austria,Vascular plants,,1826,1826,,Essl F et al. (2014)
Alopecurus utriculatus,Poland,Vascular plants,casual,1935,1935,,DAISIE
Alpinia galanga,Taiwan,Vascular plants,,1896,1896,,Wu et al. (2010)
Alpinia purpurata,Hawaiian Islands,Vascular plants,,1925,1925,Herbarium record,"Wester, L. (1992)"
Alpinia zerumbet,Australia,Vascular plants,,1989,1989,Herbarium record,Australia Virtual Herbarium
Alpinia zerumbet,Azores,Vascular plants,established,1999,1999,,"Sch�fer, H. (2003)"
Alpinia zerumbet,Hawaiian Islands,Vascular plants,,1888,1888,Herbarium record,"Wester, L. (1992)"
Alpinia zerumbet,South Africa,Vascular plants,,1909,1909,Herbarium record,Henderson (2006)
Alstonia scholaris,Taiwan,Vascular plants,,1995,1995,,Wu et al. (2010)
Alstroemeria aurea,Australia,Vascular plants,,1967,1967,Herbarium record,Australia Virtual Herbarium
Alstroemeria aurea,United Kingdom,Vascular plants,established,1950,1950,,Roy H et al. (2012) 
Alstroemeria pulchella,Australia,Vascular plants,,1978,1978,Herbarium record,Australia Virtual Herbarium
Alstroemeria pulchella,Azores,Vascular plants,established,2001,2001,,"Sch�fer, H. (2003)"
Alstroemeria pulchella,Lord Howe Island,Vascular plants,,1962,1962,,Pickard (1998)
Alstroemeria pulchella,Madeira,Vascular plants,established,1934,1934 - 1934,,DAISIE
Alternanthera bettzickiana,Australia,Vascular plants,,1994,1994,Herbarium record,Australia Virtual Herbarium
Alternanthera bettzickiana,Taiwan,Vascular plants,,1928,1928,,Wu et al. (2010)
Alternanthera brasiliana,Australia,Vascular plants,,1988,1988,Herbarium record,Australia Virtual Herbarium
Alternanthera brasiliana,Hawaiian Islands,Vascular plants,,1973,1973,Herbarium record,"Wester, L. (1992)"
Alternanthera caracasana,Azores,Vascular plants,established,1844,1844,,"Sch�fer, H. (2003)"
Alternanthera caracasana,Belgium,Vascular plants,casual,1947,1947,,"Verloove F, (2006)"
Alternanthera caracasana,France,Vascular plants,established,1990,1973 - 1993,NEW_random,DAISIE
Alternanthera caracasana,Hawaiian Islands,Vascular plants,,1925,1925,Herbarium record,"Wester, L. (1992)"
Alternanthera caracasana,Zimbabwe,Vascular plants,established,1931,1931,Herbarium record,Maroyi A (2012)
Alternanthera denticulata,Belgium,Vascular plants,casual,1895,1895,,"Verloove F, (2006)"
Alternanthera ficoidea,Australia,Vascular plants,,1907,1907,Herbarium record,Australia Virtual Herbarium
Alternanthera ficoidea,Belgium,Vascular plants,casual,2001,2001,,DAISIE
Alternanthera nodiflora,Australia,Vascular plants,,1988,1988,Herbarium record,Australia Virtual Herbarium
Alternanthera nodiflora,Belgium,Vascular plants,casual,1947,1947,,"Verloove F, (2006)"
Alternanthera paronychioides,Belgium,Vascular plants,casual,1911,1911,,"Verloove F, (2006)"
Alternanthera paronychioides,China,Vascular plants,,1969,1969,,Xu et al. (2012)
Alternanthera paronychioides,Taiwan,Vascular plants,,1969,1969,,Wu et al. (2010)
Alternanthera philoxeroides,Australia,Vascular plants,,1947,1947,Herbarium record,Australia Virtual Herbarium
Alternanthera philoxeroides,China,Vascular plants,,1935,1930s,NEW_random,Xu et al. (2012)
Alternanthera philoxeroides,France,Vascular plants,alien,1982,1973 - 1993,NEW_random,GISD
Alternanthera philoxeroides,Japan,Vascular plants,,1989,1989,,APASD
Alternanthera philoxeroides,Nepal,Vascular plants,,1994,1994,,Tiwari et al. (2005)
Alternanthera philoxeroides,Sri Lanka,Vascular plants,,1998,1998,,CABI ISC
Alternanthera philoxeroides,Taiwan,Vascular plants,,1934,1934,,Wu et al. (2010)
Alternanthera pungens,Australia,Vascular plants,,1913,1913,Herbarium record,Australia Virtual Herbarium
Alternanthera pungens,Belgium,Vascular plants,casual,1949,<1949 ,,"Verloove F, (2006)"
Alternanthera pungens,China,Vascular plants,,1953,1950s,NEW_random,Xu et al. (2012)
Alternanthera pungens,Hawaiian Islands,Vascular plants,,1959,1959,Herbarium record,"Wester, L. (1992)"
Alternanthera pungens,Zimbabwe,Vascular plants,established,1931,1931,Herbarium record,Maroyi A (2012)
Alternanthera reineckii,Taiwan,Vascular plants,,2004,2004,,Wu et al. (2010)
Alternanthera sessilis,Australia,Vascular plants,,1907,1907,Herbarium record,Australia Virtual Herbarium
Alternanthera sessilis,Belgium,Vascular plants,casual,1895,1895,,"Verloove F, (2006)"
Alternanthera sessilis,Hawaiian Islands,Vascular plants,,1935,1935,Herbarium record,"Wester, L. (1992)"
Alternanthera sessilis,Taiwan,Vascular plants,,1970,1970,,Wu et al. (2010)
Alternanthera sessilis,Zimbabwe,Vascular plants,established,1921,1921,Herbarium record,Maroyi A (2012)
Alternanthera tenella,Belgium,Vascular plants,casual,2001,2001,,"Verloove F, (2006)"
Alternanthera tenella,Hawaiian Islands,Vascular plants,,1936,1936,Herbarium record,"Wester, L. (1992)"
Althaea armeniaca,Czech Republic,Vascular plants,casual,1966,1966,,Py�ek et al. (2012)
Althaea armeniaca,Slovakia,Vascular plants,casual,1982,1982(2006),,"Medveck�, J. et al. (2012)"
Althaea cannabina,Austria,Vascular plants,,1876,1876,,Essl F et al. (2014)
Althaea hirsuta,Austria,Vascular plants,,1866,1866,,Essl F et al. (2014)
Althaea hirsuta,Belgium,Vascular plants,casual,1855,1855,,"Verloove F, (2006)"
Althaea hirsuta,Czech Republic,Vascular plants,casual,1870,1870,,Py�ek et al. (2012)
Althaea hirsuta,Ireland,Vascular plants,,1898,1898,,"Reynolds, S. C. P. (2002)"
Althaea hirsuta,United Kingdom,Vascular plants,established,1792,1792,,Roy H et al. (2012) 
Althaea officinalis,Canada,Vascular plants,,1909,1909,Herbarium record,Lavoie et al. (2012)
Althaea officinalis,Ireland,Vascular plants,,1866,1866,,"Reynolds, S. C. P. (2002)"
Althaea officinalis,Latvia,Vascular plants,casual,1984,1984 - 1984,,DAISIE
Althaea officinalis,Norway,Vascular plants,casual,1913,1913 - 1913,,GISD
Alysicarpus bupleurifolius,Australia,Vascular plants,,1918,1918,Herbarium record,Australia Virtual Herbarium
Alysicarpus monilifer,Australia,Vascular plants,,2007,2007,Herbarium record,Australia Virtual Herbarium
Alysicarpus ovalifolius,Australia,Vascular plants,,1918,1918,Herbarium record,Australia Virtual Herbarium
Alysicarpus ovalifolius,Taiwan,Vascular plants,,1965,1965,,Wu et al. (2010)
Alysicarpus rugosus,Taiwan,Vascular plants,,1984,1984,,Wu et al. (2010)
Alysicarpus vaginalis,Australia,Vascular plants,,1941,1941,Herbarium record,Australia Virtual Herbarium
Alysicarpus vaginalis,Hawaiian Islands,Vascular plants,,1909,1909,Herbarium record,"Wester, L. (1992)"
Alysicarpus vaginalis,Taiwan,Vascular plants,,1985,1985,,Wu et al. (2010)
Alyssum alyssoides,Australia,Vascular plants,,2005,2005,Herbarium record,Australia Virtual Herbarium
Alyssum alyssoides,Canada,Vascular plants,,1930,1930,Herbarium record,Lavoie et al. (2012)
Alyssum alyssoides,Chile,Vascular plants,,1984,1984,,Nicol Fuentes
Alyssum alyssoides,Denmark,Vascular plants,established,1768,1768 - 1768,,DAISIE
Alyssum alyssoides,Ireland,Vascular plants,,1818,1818,,"Reynolds, S. C. P. (2002)"
Alyssum alyssoides,Norway,Vascular plants,established,1857,1857 - 1857,,GISD
Alyssum alyssoides,Sweden,Vascular plants,established,1749,1749,,DAISIE
Alyssum alyssoides,United Kingdom,Vascular plants,established,0,0,,Roy H et al. (2012) 
Alyssum argenteum,Poland,Vascular plants,established,1908,1908,,"Tokarska-Guzik, B. (2005)"
Alyssum corsicum,Corse,Vascular plants,established,1828,1828,,DAISIE
Alyssum desertorum,Belgium,Vascular plants,casual,1864,1864,,"Verloove F, (2006)"
Alyssum desertorum,Canada,Vascular plants,,1944,1944,,CABI ISC
Alyssum desertorum,Estonia,Vascular plants,,1925,1925,,CABI ISC
Alyssum desertorum,Lithuania,Vascular plants,casual,1938,1938 - 1938,,DAISIE
Alyssum desertorum,Norway,Vascular plants,,1957,1957,,CABI ISC
Alyssum hirsutum,Austria,Vascular plants,,2000,2000,,Essl F et al. (2014)
Alyssum hirsutum,Belgium,Vascular plants,casual,1879,1879,,"Verloove F, (2006)"
Alyssum hirsutum,Norway,Vascular plants,casual,1894,1894 - 1894,,GISD
Alyssum linifolium,Australia,Vascular plants,,1877,1877,Herbarium record,Australia Virtual Herbarium
Alyssum linifolium,Poland,Vascular plants,casual,1896,1896,,DAISIE
Alyssum minus,Belgium,Vascular plants,casual,1909,1909,,DAISIE
Alyssum montanum,Belgium,Vascular plants,established,2002,2002,,"Verloove F, (2006)"
Alyssum murale,Austria,Vascular plants,,1960,1960,,Essl F et al. (2014)
Alyssum murale,Belgium,Vascular plants,established,1850,<1850 ,,"Verloove F, (2006)"
Alyssum murale,Canada,Vascular plants,,1967,1967,Herbarium record,Lavoie et al. (2012)
Alyssum murale,Slovakia,Vascular plants,casual,1941,1941,,"Medveck�, J. et al. (2012)"
Alyssum rostratum,Czech Republic,Vascular plants,casual,1897,1897,,Py�ek et al. (2012)
Alyssum saxatile,Belgium,Vascular plants,casual,1889,1889,,"Verloove F, (2006)"
Alyssum simplex,Belgium,Vascular plants,casual,1850,<1850 ,,"Verloove F, (2006)"
Alyssum simplex,Latvia,Vascular plants,casual,1925,1925 - 1925,,DAISIE
Alyssum strigosum,Austria,Vascular plants,,1992,1992,,Essl F et al. (2014)
Alyssum strigosum,Belgium,Vascular plants,casual,1909,1909,,"Verloove F, (2006)"
Alyssum tortuosum,Lithuania,Vascular plants,casual,1844,1844 - 1844,,DAISIE
Amaranthus acutilobus,Belgium,Vascular plants,casual,1908,1908,,"Verloove F, (2006)"
Amaranthus acutilobus,Czech Republic,Vascular plants,casual,1909,1909,,Py�ek et al. (2012)
Amaranthus acutilobus,Romania,Vascular plants,established,1998,1998 - 1998,,DAISIE
Amaranthus albus,Albania,Vascular plants,established,1962,1962,,Barina Z et al. (2014)
Amaranthus albus,Australia,Vascular plants,,1893,1893,Herbarium record,Australia Virtual Herbarium
Amaranthus albus,Austria,Vascular plants,,1916,1916,,Essl F et al. (2014)
Amaranthus albus,Belgium,Vascular plants,established,1857,1857,,"Verloove F, (2006)"
Amaranthus albus,Bulgaria,Vascular plants,,1912,1912,,Petrova et al. (2013)
Amaranthus albus,Canada,Vascular plants,,1821,1821,Herbarium record,Lavoie et al. (2012)
Amaranthus albus,Chile,Vascular plants,,1887,1887,,Nicol Fuentes
Amaranthus albus,China,Vascular plants,,1929,1929,,Xu et al. (2012)
Amaranthus albus,Corse,Vascular plants,established,1834,1834,,DAISIE
Amaranthus albus,Cyprus,Vascular plants,established,1905,1905,,DAISIE
Amaranthus albus,Czech Republic,Vascular plants,established,1893,1893,,Py�ek et al. (2012)
Amaranthus albus,Estonia,Vascular plants,casual,1936,1936 - 1936,,DAISIE
Amaranthus albus,Ireland,Vascular plants,,1904,1904,,"Reynolds, S. C. P. (2002)"
Amaranthus albus,Latvia,Vascular plants,established,1932,1932 - 1932,,DAISIE
Amaranthus albus,Lithuania,Vascular plants,established,1936,1936 - 1936,,DAISIE
Amaranthus albus,Netherlands,Vascular plants,established,1878,1878 - 1878,,DAISIE
Amaranthus albus,Norway,Vascular plants,casual,1896,1896 - 1896,,GISD
Amaranthus albus,Poland,Vascular plants,established,1907,1907,,"Tokarska-Guzik, B. (2005)"
Amaranthus albus,Portugal,Vascular plants,established,1897,NULL - 1897,,DAISIE
Amaranthus albus,Romania,Vascular plants,established,1898,1898 - 1898,,DAISIE
Amaranthus albus,Russia,Vascular plants,established,1880,1880 - 1880,,DAISIE
Amaranthus albus,Slovakia,Vascular plants,established,1911,1911,,"Medveck�, J. et al. (2012)"
Amaranthus albus,Spain,Vascular plants,established,1861,1861 - 1861,,DAISIE
Amaranthus albus,Ukraine,Vascular plants,,1880,1880 - 1880,,DAISIE
Amaranthus albus,United Kingdom,Vascular plants,casual,1872,1872,,Roy H et al. (2012) 
Amaranthus blitoides,Albania,Vascular plants,established,2000,2000,,Barina Z et al. (2014)
Amaranthus blitoides,Austria,Vascular plants,,1916,1916,,Essl F et al. (2014)
Amaranthus blitoides,Azores,Vascular plants,established,1970,1970,,"Sch�fer, H. (2003)"
Amaranthus blitoides,Belgium,Vascular plants,established,1886,1886,,"Verloove F, (2006)"
Amaranthus blitoides,Canada,Vascular plants,,1884,1884,Herbarium record,Lavoie et al. (2012)
Amaranthus blitoides,China,Vascular plants,,1857,1857,,Xu et al. (2012)
Amaranthus blitoides,Corse,Vascular plants,established,1975,1975,,DAISIE
Amaranthus blitoides,Cyprus,Vascular plants,established,1988,1988,,DAISIE
Amaranthus blitoides,Czech Republic,Vascular plants,established,1931,1931,,Py�ek et al. (2012)
Amaranthus blitoides,Estonia,Vascular plants,casual,1957,1957 - 1957,,DAISIE
Amaranthus blitoides,Ireland,Vascular plants,,1989,1989,,"Reynolds, S. C. P. (2002)"
Amaranthus blitoides,Kyrgyzstan,Vascular plants,,1985,1985,,Lazkov G A & Sultanova AB (2011)
Amaranthus blitoides,Latvia,Vascular plants,casual,1960,1960 - 1960,,DAISIE
Amaranthus blitoides,Lithuania,Vascular plants,established,1947,1947 - 1947,,DAISIE
Amaranthus blitoides,Netherlands,Vascular plants,established,1904,1904 - 1904,,DAISIE
Amaranthus blitoides,Norway,Vascular plants,established,1947,1947 - 1947,,GISD
Amaranthus blitoides,Poland,Vascular plants,established,1911,1911,,"Tokarska-Guzik, B. (2005)"
Amaranthus blitoides,Portugal,Vascular plants,established,1927,NULL - 1927,,DAISIE
Amaranthus blitoides,Romania,Vascular plants,established,1931,1931 - 1931,,DAISIE
Amaranthus blitoides,Russia,Vascular plants,established,1983,1983 - 1983,,DAISIE
Amaranthus blitoides,Slovakia,Vascular plants,established,1935,1935,,"Medveck�, J. et al. (2012)"
Amaranthus blitoides,Spain,Vascular plants,established,1910,1910 - 1910,,DAISIE
Amaranthus blitoides,Ukraine,Vascular plants,,1926,1926 - 1926,,DAISIE
Amaranthus blitoides,United Kingdom,Vascular plants,casual,1929,1929,,Roy H et al. (2012) 
Amaranthus blitum,Australia,Vascular plants,,1895,1895,Herbarium record,Australia Virtual Herbarium
Amaranthus blitum,Austria,Vascular plants,,1990,1990,,Essl F et al. (2014)
Amaranthus blitum,Azores,Vascular plants,established,1842,1842 - 1842,,DAISIE
Amaranthus blitum,Belgium,Vascular plants,established,1835,<1835 ,,"Verloove F, (2006)"
Amaranthus blitum,Canada,Vascular plants,,1890,1890,Herbarium record,Lavoie et al. (2012)
Amaranthus blitum,Corse,Vascular plants,established,1932,1932,,DAISIE
Amaranthus blitum,Czech Republic,Vascular plants,casual,1912,1912,,Py�ek et al. (2012)
Amaranthus blitum,Estonia,Vascular plants,casual,1956,1956 - 1956,,DAISIE
Amaranthus blitum,Lithuania,Vascular plants,established,1823,1823 - 1823,,DAISIE
Amaranthus blitum,Norway,Vascular plants,casual,1889,1889 - 1889,,GISD
Amaranthus blitum,Poland,Vascular plants,established,1826,1826,,"Tokarska-Guzik, B. (2005)"
Amaranthus blitum,Portugal,Vascular plants,established,1990,NULL - 1990,,DAISIE
Amaranthus blitum,Slovakia,Vascular plants,casual,1947,1947,,"Medveck�, J. et al. (2012)"
Amaranthus blitum,United Kingdom,Vascular plants,casual,1771,1771,,Roy H et al. (2012) 
Amaranthus bouchonii,Austria,Vascular plants,,1968,1968,,Essl F et al. (2014)
Amaranthus bouchonii,Corse,Vascular plants,established,1979,1979,,DAISIE
Amaranthus bouchonii,Czech Republic,Vascular plants,casual,1948,1948,,Py�ek et al. (2012)
Amaranthus bouchonii,Germany,Vascular plants,alien,1932,1932 - 1932,,GISD
Amaranthus bouchonii,Lithuania,Vascular plants,casual,1989,1989 - 1989,,DAISIE
Amaranthus bouchonii,Netherlands,Vascular plants,established,1900,1900,,DAISIE
Amaranthus bouchonii,Poland,Vascular plants,casual,1969,1969,,DAISIE
Amaranthus bouchonii,United Kingdom,Vascular plants,casual,1949,1949,,Roy H et al. (2012) 
Amaranthus californicus,Poland,Vascular plants,casual,1931,1931,,DAISIE
Amaranthus capensis,Belgium,Vascular plants,casual,1890,1890,,"Verloove F, (2006)"
Amaranthus capensis,Poland,Vascular plants,casual,1877,1877,,DAISIE
Amaranthus capensis,United Kingdom,Vascular plants,casual,1908,1908,,Roy H et al. (2012) 
Amaranthus caudatus,Australia,Vascular plants,,1906,1906,Herbarium record,Australia Virtual Herbarium
Amaranthus caudatus,Austria,Vascular plants,,1859,1859,,Essl F et al. (2014)
Amaranthus caudatus,Belgium,Vascular plants,casual,1874,1874,,"Verloove F, (2006)"
Amaranthus caudatus,Canada,Vascular plants,,1982,1982,Herbarium record,Lavoie et al. (2012)
Amaranthus caudatus,Cyprus,Vascular plants,established,1900,1900,,DAISIE
Amaranthus caudatus,Czech Republic,Vascular plants,casual,1838,1838,,Py�ek et al. (2012)
Amaranthus caudatus,Estonia,Vascular plants,casual,1993,1993 - 1993,,DAISIE
Amaranthus caudatus,Madeira,Vascular plants,established,1894,1894 - 1894,,DAISIE
Amaranthus caudatus,Norway,Vascular plants,casual,1963,1963 - 1963,,GISD
Amaranthus caudatus,Portugal,Vascular plants,casual,1897,1897 - 1897,,DAISIE
Amaranthus caudatus,Romania,Vascular plants,established,1878,1878 - 1878,,DAISIE
Amaranthus caudatus,Russia,Vascular plants,casual,1895,1895 - 1895,,DAISIE
Amaranthus caudatus,Slovakia,Vascular plants,casual,1896,1896(1947),,"Medveck�, J. et al. (2012)"
